Dropoff Community Area,Ride Date,Total Number of Rides,Average Ride Length
44,01/07/2016,14,7.071428571428572
44,03/29/2013,12,16.741666666666664
44,01/07/2015,13,8.123076923076923
44,03/29/2014,13,5.361538461538462
44,03/29/2015,11,3.427272727272727
44,03/29/2016,14,5.1
44,01/07/2017,11,12.154545454545454
44,04/09/2013,9,7.322222222222223
44,07/02/2015,15,13.866666666666665
44,04/09/2014,14,9.078571428571427
44,07/02/2014,15,6.300000000000001
44,04/09/2015,9,6.944444444444445
44,09/24/2013,8,4.675
44,04/09/2016,9,7.466666666666667
44,07/02/2013,5,2.7399999999999998
44,04/09/2017,9,4.433333333333334
44,06/15/2014,9,4.288888888888888
44,06/15/2013,2,10.75
44,06/15/2017,4,6.225
44,06/15/2016,9,6.433333333333334
44,06/15/2015,15,7.426666666666667
44,10/09/2014,17,6.00764705882353
44,07/07/2016,9,23.466666666666665
44,07/07/2015,15,6.973333333333333
44,10/09/2013,9,4.655555555555556
44,07/07/2014,10,6.859999999999999
44,07/07/2013,6,4.631666666666667
44,04/16/2017,7,5.485714285714286
44,04/16/2016,6,4.666666666666667
44,04/16/2015,15,6.679999999999999
44,04/16/2014,9,5.588888888888889
44,07/07/2017,7,5.204285714285715
44,10/09/2016,8,4.6625000000000005
44,10/09/2015,16,9.28125
44,12/01/2014,14,7.642857142857143
44,12/01/2013,8,4.574999999999999
44,12/01/2016,9,8.035555555555554
44,12/01/2015,11,6.541818181818181
44,05/28/2013,1,1.7
44,04/16/2013,8,3.962500000000001
44,03/04/2013,10,4.800000000000001
44,12/08/2015,9,5.811111111111111
44,12/08/2014,14,5.542857142857144
44,12/08/2013,7,4.357142857142857
44,12/08/2016,5,4.68
44,07/25/2015,11,7.027272727272727
44,07/25/2016,6,15.566666666666668
44,07/25/2013,6,8.2
44,08/30/2013,8,7.225
44,07/25/2014,14,6.378571428571429
44,08/30/2014,14,8.159285714285714
44,08/30/2015,15,6.5666666666666655
44,08/30/2016,11,7.490909090909091
44,07/25/2017,10,11.776
44,05/26/2014,7,11.401428571428571
44,05/26/2015,13,10.169230769230769
44,10/04/2016,9,9.355555555555556
44,10/04/2015,17,9.335294117647061
44,10/04/2014,12,6.6000000000000005
44,05/26/2013,8,3.8125
44,10/04/2013,10,10.049999999999999
44,05/26/2016,8,10.6
44,05/26/2017,2,14.51
44,09/29/2013,6,5.583333333333332
44,09/29/2014,6,5.366666666666667
44,02/10/2013,6,5.233333333333333
44,02/10/2015,16,5.00625
44,02/10/2014,11,2.109090909090909
44,09/29/2015,9,10.788888888888888
44,02/10/2017,12,5.208333333333334
44,02/10/2016,16,6.262499999999999
44,09/29/2016,10,8.940000000000001
44,03/22/2016,11,6.054545454545454
44,03/22/2017,8,9.93
44,03/22/2014,21,5.8238095238095235
44,03/22/2015,17,5.258823529411765
44,06/13/2015,19,9.936842105263162
44,03/22/2013,8,29.0625
44,06/13/2016,7,6.628571428571428
44,06/13/2013,5,20.5
44,06/13/2014,16,9.531249999999998
44,06/13/2017,5,5.064
44,06/04/2013,5,11.419999999999998
44,06/04/2014,11,7.818181818181818
44,06/04/2015,38,3.7552631578947366
44,06/04/2016,15,7.359999999999999
44,06/04/2017,9,7.2666666666666675
44,05/05/2014,18,7.127777777777778
44,05/05/2013,7,0.5285714285714286
44,05/05/2016,9,7.866666666666666
44,05/05/2015,8,4.7875
44,05/05/2017,11,7.8999999999999995
44,01/18/2015,13,10.06153846153846
44,01/18/2016,6,5.583333333333333
44,01/18/2017,4,5.8999999999999995
44,01/18/2013,7,17.95714285714286
44,01/18/2014,6,9.55
44,04/23/2017,7,7.142857142857143
44,04/23/2016,17,6.0058823529411764
44,04/23/2015,13,4.561538461538461
44,04/23/2014,8,7.8500000000000005
44,04/23/2013,8,10.9375
44,03/04/2017,14,8.885
44,03/04/2016,13,9.776923076923076
44,03/04/2015,15,6.019999999999999
44,03/04/2014,18,7.001111111111111
44,06/08/2015,10,4.6000000000000005
44,06/08/2016,6,6.166666666666667
44,06/08/2017,8,11.417500000000002
44,10/16/2016,20,5.425000000000001
44,10/16/2015,15,9.926666666666668
44,10/16/2014,8,10.725
44,10/16/2013,8,6.5125
44,12/10/2014,11,5.909090909090909
44,12/10/2013,10,7.450000000000001
44,06/08/2013,2,12.55
44,06/08/2014,12,3.8475
44,12/10/2016,6,5.466666666666666
44,12/10/2015,21,8.210476190476191
44,11/12/2013,6,3.9966666666666666
44,07/23/2015,12,8.258333333333333
44,07/23/2016,9,6.322222222222223
44,04/20/2013,4,2.0
44,07/23/2017,11,7.109090909090909
44,04/20/2014,20,6.3149999999999995
44,04/20/2015,13,5.203076923076923
44,04/20/2016,7,7.799999999999999
44,04/20/2017,10,8.699000000000002
44,07/23/2013,8,2.405
44,03/24/2017,10,9.52
44,07/23/2014,6,4.6499999999999995
44,03/24/2016,9,7.777777777777778
44,03/24/2015,16,11.275
44,03/24/2014,11,5.6454545454545455
44,03/24/2013,7,1.3714285714285714
44,11/28/2014,6,6.55
44,11/28/2013,7,3.4571428571428577
44,11/28/2016,2,6.300000000000001
44,11/28/2015,8,5.1499999999999995
44,11/12/2014,8,5.825
44,11/12/2015,17,7.3882352941176475
44,11/12/2016,6,2.3833333333333337
44,01/20/2013,4,3.775
44,01/20/2017,5,10.198
44,01/20/2016,6,3.85
44,01/20/2015,7,10.428571428571429
44,01/20/2014,9,9.766666666666667
44,08/14/2016,16,4.7562500000000005
44,08/14/2015,7,8.928571428571429
44,08/14/2014,13,5.323076923076924
44,08/14/2013,6,4.983333333333333
44,09/17/2013,2,5.8999999999999995
44,09/17/2016,6,9.683333333333334
44,01/27/2017,7,7.651428571428572
44,09/17/2014,12,4.733333333333333
44,09/17/2015,13,9.346153846153847
44,04/27/2013,4,7.675
44,04/27/2016,9,4.7555555555555555
44,04/27/2017,8,7.750000000000001
44,04/27/2014,19,5.842105263157896
44,04/27/2015,14,6.057142857142857
44,01/27/2014,10,5.76
44,01/27/2013,3,45.099999999999994
44,01/27/2016,11,4.386363636363637
44,01/27/2015,7,9.128571428571428
44,01/11/2014,19,5.366842105263157
44,01/11/2015,14,9.35
44,01/11/2013,9,17.644444444444446
44,01/11/2016,11,7.018181818181817
44,01/11/2017,8,6.07375
44,08/05/2016,6,8.783333333333333
44,11/19/2015,14,6.471428571428572
44,11/19/2016,9,7.7777777777777795
44,11/19/2013,9,4.162222222222223
44,08/05/2014,12,6.0341666666666685
44,08/05/2015,10,10.440000000000001
44,11/19/2014,12,6.558333333333334
44,08/05/2013,7,3.9142857142857146
44,06/17/2017,5,9.459999999999999
44,06/17/2014,9,4.758888888888889
44,06/17/2013,3,5.533333333333334
44,06/17/2016,13,6.261538461538462
44,06/17/2015,9,6.9111111111111105
44,03/15/2016,17,7.100000000000001
44,03/15/2017,6,11.428333333333333
44,03/15/2014,16,8.674999999999999
44,03/15/2015,12,6.183333333333334
44,03/01/2015,23,5.121739130434782
44,06/20/2014,12,6.663333333333334
44,03/01/2016,20,6.724999999999997
44,06/20/2013,6,9.216666666666667
44,03/01/2017,8,7.3375
44,06/20/2016,15,5.88
44,06/20/2015,9,10.777777777777779
44,10/07/2015,10,6.409999999999999
44,10/07/2016,10,6.16
44,06/20/2017,4,13.1875
44,03/01/2013,9,6.777777777777778
44,10/07/2013,6,8.016666666666667
44,03/01/2014,21,7.129047619047619
44,10/07/2014,12,6.416666666666668
44,07/16/2016,18,28.41666666666667
44,03/15/2013,12,9.125
44,07/16/2015,14,6.1428571428571415
44,07/16/2017,7,7.308571428571428
44,07/16/2014,11,9.281818181818183
44,07/16/2013,6,3.0500000000000003
44,04/07/2016,16,5.6875
44,04/07/2017,9,6.352222222222223
44,03/08/2016,12,5.858333333333332
44,03/08/2017,4,7.4075
44,03/08/2014,18,6.334444444444445
44,03/08/2015,15,8.613333333333333
44,03/08/2013,6,17.499999999999996
44,12/17/2015,14,5.478571428571427
44,12/17/2014,12,14.675000000000002
44,12/17/2016,6,6.883333333333333
44,06/24/2017,11,9.98
44,12/17/2013,5,4.0840000000000005
44,06/24/2014,18,5.418888888888888
44,04/07/2014,10,6.0600000000000005
44,06/27/2015,8,6.336249999999999
44,04/07/2015,8,11.2875
44,06/27/2014,21,8.791904761904762
44,06/24/2013,10,10.310000000000002
44,06/24/2016,9,22.07777777777778
44,06/27/2013,4,7.65
44,06/24/2015,15,5.6466666666666665
44,04/07/2013,5,8.8
44,06/27/2017,6,5.25
44,06/27/2016,9,6.322222222222222
44,03/11/2013,11,10.327272727272726
44,03/11/2017,12,6.225000000000001
44,03/11/2016,9,8.088888888888889
44,03/11/2015,33,3.811818181818182
44,03/11/2014,13,5.8769230769230765
44,02/26/2016,13,6.653846153846154
44,02/26/2015,19,8.6
44,02/26/2017,10,5.98
44,01/14/2013,10,25.310000000000002
44,01/14/2014,5,8.54
44,08/01/2016,11,6.972727272727272
44,08/01/2015,12,12.375
44,08/01/2014,20,6.956
44,11/25/2013,8,1.0074999999999998
44,11/25/2015,14,8.007142857142858
44,11/25/2014,12,6.791666666666665
44,08/01/2013,6,3.5500000000000003
44,03/18/2014,14,7.149285714285713
44,03/18/2013,6,4.1499999999999995
44,03/18/2016,13,9.527692307692307
44,03/18/2015,7,5.971428571428572
44,09/13/2016,3,10.5
44,09/13/2015,9,10.233333333333333
44,09/13/2014,13,8.2
44,09/13/2013,8,1.8875000000000002
44,10/13/2013,8,7.512499999999999
44,10/13/2014,5,3.2700000000000005
44,10/13/2015,13,11.215384615384616
44,10/13/2016,7,5.757142857142857
44,01/04/2016,16,9.20625
44,01/04/2017,6,6.1000000000000005
44,03/18/2017,15,7.179999999999999
44,11/25/2016,6,6.066666666666667
44,01/14/2015,15,6.299999999999999
44,01/14/2016,10,7.640000000000001
44,01/14/2017,12,9.808333333333334
44,02/26/2014,16,4.75
44,02/26/2013,7,7.8
44,08/21/2016,7,9.428571428571429
44,08/08/2013,8,14.47
44,08/21/2015,34,4.447058823529412
44,08/21/2014,17,6.147058823529412
44,08/08/2014,12,10.737499999999999
44,08/21/2013,6,6.433333333333334
44,08/08/2015,5,11.98
44,08/08/2016,8,8.4375
44,07/30/2015,15,7.813333333333333
44,07/30/2016,8,5.54375
44,07/30/2017,5,6.94
44,07/30/2013,6,4.033333333333334
44,07/30/2014,15,5.2266666666666675
44,06/18/2016,12,10.308333333333332
44,05/07/2017,4,5.7749999999999995
44,06/18/2017,4,15.025
44,06/18/2014,10,11.495999999999999
44,05/07/2015,17,6.558823529411764
44,06/18/2015,17,6.088235294117647
44,05/07/2016,16,6.387500000000001
44,05/07/2013,5,12.280000000000001
44,05/07/2014,17,5.882352941176471
44,05/24/2013,7,4.2142857142857135
44,05/24/2014,11,4.632727272727272
44,05/24/2015,7,5.928571428571429
44,05/24/2016,11,6.6090909090909085
44,05/24/2017,5,7.37
44,07/13/2014,12,4.716666666666668
44,07/13/2015,12,8.658333333333333
44,07/13/2013,3,7.136666666666667
44,01/04/2014,9,4.524444444444445
44,01/04/2015,13,8.753846153846155
44,03/26/2013,7,12.571428571428571
44,01/04/2013,11,13.945454545454545
44,07/13/2016,12,5.316666666666667
44,07/13/2017,6,4.2
44,12/04/2013,9,6.91111111111111
44,12/04/2014,15,6.92
44,12/04/2015,14,5.1571428571428575
44,02/15/2017,12,6.508333333333334
44,03/26/2015,6,4.8500000000000005
44,03/26/2014,13,3.6630769230769227
44,02/15/2015,22,7.243636363636363
44,03/26/2017,5,4.14
44,02/15/2016,8,7.999999999999999
44,03/26/2016,10,2.76
44,04/29/2016,15,7.3533333333333335
44,04/29/2017,9,9.055555555555554
44,06/18/2013,5,13.62
44,04/13/2014,12,4.266666666666667
44,04/13/2013,4,3.0
44,04/13/2016,7,6.671428571428572
44,04/13/2015,9,6.7666666666666675
44,04/13/2017,7,10.915714285714284
44,06/02/2016,11,6.581818181818181
44,06/02/2015,13,7.507692307692308
44,04/29/2013,8,1.3499999999999999
44,06/02/2014,17,11.317647058823528
44,04/29/2014,12,7.6000000000000005
44,04/29/2015,6,7.433333333333334
44,06/02/2013,6,3.3166666666666664
44,02/15/2013,10,10.3
44,02/15/2014,16,5.79375
44,12/04/2016,9,10.244444444444444
44,08/16/2013,12,0.9966666666666667
44,08/16/2015,13,10.100000000000001
44,08/16/2014,16,7.312499999999999
44,08/16/2016,9,4.111111111111111
44,06/02/2017,7,6.914285714285714
44,07/22/2013,5,7.160000000000001
44,07/22/2017,6,4.033333333333334
44,07/22/2016,11,11.509090909090908
44,07/22/2015,13,8.499999999999998
44,07/22/2014,12,7.166666666666667
44,01/28/2013,6,5.1499999999999995
44,01/28/2016,15,10.18
44,01/28/2017,7,4.9
44,01/28/2014,7,3.5
44,01/28/2015,8,8.125
44,03/10/2015,11,6.5181818181818185
44,03/10/2016,14,6.882857142857143
44,03/10/2013,4,2.5749999999999997
44,03/10/2014,14,1.735
44,11/09/2014,11,9.6
44,11/09/2015,10,8.209999999999999
44,11/09/2016,3,8.200000000000001
44,11/09/2013,7,4.814285714285715
44,03/10/2017,12,11.713333333333333
44,09/27/2014,13,12.384615384615387
44,09/27/2013,7,8.571428571428573
44,09/27/2016,6,12.15
44,09/27/2015,16,5.573125
44,02/23/2016,8,5.2124999999999995
44,02/23/2017,12,8.508333333333335
44,02/23/2014,12,6.983333333333333
44,02/23/2015,16,7.875000000000001
44,02/23/2013,8,7.175000000000001
44,09/11/2016,4,7.675000000000001
44,09/11/2013,7,27.488571428571422
44,09/11/2015,8,10.2125
44,09/11/2014,8,5.7749999999999995
44,04/21/2013,4,4.95
44,09/26/2013,5,9.040000000000001
44,09/26/2014,14,4.914285714285714
44,04/21/2015,12,7.716666666666668
44,09/26/2015,25,4.536
44,04/21/2014,12,4.083333333333333
44,09/26/2016,7,8.085714285714285
44,04/21/2017,4,13.497499999999999
44,04/21/2016,11,6.8090909090909095
44,07/28/2017,4,8.075
44,07/28/2016,12,3.775
44,07/28/2013,2,10.5
44,07/28/2015,10,6.21
44,07/28/2014,5,1.278
44,11/18/2016,7,13.700000000000001
44,11/18/2013,8,3.40875
44,11/18/2015,6,7.099999999999999
44,11/18/2014,12,5.196666666666667
44,12/03/2016,10,7.433999999999999
44,12/03/2015,19,6.048947368421052
44,12/13/2013,16,6.793750000000001
44,09/19/2016,4,12.925
44,04/14/2016,6,3.233333333333333
44,04/14/2017,9,8.21888888888889
44,04/14/2014,10,6.709999999999999
44,04/14/2015,9,6.688888888888889
44,09/19/2013,8,4.6375
44,09/19/2014,17,8.547058823529412
44,09/19/2015,15,9.166666666666666
44,04/14/2013,5,5.239999999999999
44,03/20/2016,9,12.577777777777778
44,03/20/2017,6,10.316666666666666
44,12/13/2015,13,5.630769230769231
44,12/13/2014,23,8.378260869565217
44,03/20/2013,4,8.525
44,03/20/2014,19,3.026315789473684
44,12/13/2016,6,7.233333333333333
44,03/20/2015,11,8.163636363636364
44,10/22/2016,7,4.957142857142857
44,10/22/2014,13,7.938461538461538
44,10/22/2015,6,8.966666666666667
44,09/09/2015,13,20.83076923076923
44,09/09/2016,10,4.57
44,09/09/2013,5,4.52
44,09/09/2014,7,9.785714285714286
44,04/19/2015,12,2.9583333333333335
44,04/19/2016,5,8.3
44,04/19/2013,6,3.983333333333333
44,04/19/2014,18,6.266666666666666
44,04/19/2017,11,6.136363636363637
44,10/22/2013,10,7.029999999999999
44,11/08/2016,7,7.928571428571429
44,11/08/2015,11,5.783636363636365
44,11/08/2014,5,8.8
44,11/08/2013,12,4.299166666666667
44,02/25/2013,9,12.566666666666666
44,04/04/2017,6,8.033333333333333
44,04/04/2016,7,3.0714285714285716
44,11/26/2015,7,5.028571428571429
44,04/04/2015,18,4.5888888888888895
44,11/26/2016,6,5.3999999999999995
44,05/01/2017,7,9.671428571428573
44,11/26/2013,13,3.9230769230769242
44,04/04/2014,7,7.042857142857144
44,11/26/2014,17,7.017647058823529
44,04/04/2013,5,12.7
44,05/31/2013,1,10.8
44,05/01/2014,23,5.050869565217392
44,05/31/2014,10,6.147
44,05/31/2015,11,6.61090909090909
44,05/01/2013,4,21.3
44,05/31/2016,9,3.2444444444444445
44,05/01/2016,10,6.7299999999999995
44,03/19/2013,9,3.9000000000000004
44,05/01/2015,17,4.3882352941176475
44,05/31/2017,6,4.183333333333333
44,03/19/2015,17,6.0058823529411764
44,03/19/2014,9,3.9555555555555566
44,03/19/2017,5,6.24
44,03/19/2016,8,6.18375
44,12/11/2013,10,3.4599999999999995
44,12/11/2014,19,5.836842105263159
44,12/11/2015,16,5.3062499999999995
44,12/11/2016,6,14.733333333333334
44,02/25/2014,13,7.392307692307692
44,02/25/2015,17,4.905882352941177
44,02/25/2016,19,6.494736842105264
44,02/25/2017,8,6.475
44,07/05/2013,4,5.95
44,07/05/2014,13,2.7230769230769236
44,07/05/2017,7,6.1428571428571415
44,07/05/2015,10,8.91
44,07/05/2016,11,6.609090909090909
44,03/09/2014,17,4.594117647058824
44,06/28/2013,4,3.5999999999999996
44,06/28/2014,10,8.77
44,03/09/2013,5,12.280000000000001
44,06/28/2015,14,8.464285714285714
44,12/21/2015,11,5.732727272727273
44,06/28/2016,6,5.783333333333334
44,12/21/2016,8,6.7124999999999995
44,12/21/2013,15,6.593333333333335
44,06/28/2017,4,3.975
44,12/21/2014,10,8.989999999999998
44,03/09/2017,6,9.35
44,03/09/2016,9,4.866666666666667
44,03/09/2015,14,5.499999999999999
44,12/03/2014,17,6.18235294117647
44,12/03/2013,6,5.083333333333333
44,01/05/2017,12,6.31
44,01/05/2016,14,7.271428571428572
44,01/05/2015,12,8.275
44,01/05/2014,8,5.81
44,01/05/2013,3,33.96666666666667
44,09/04/2016,7,7.971428571428571
44,09/04/2014,16,6.218749999999998
44,12/31/2014,21,7.680952380952383
44,12/31/2015,22,7.927272727272728
44,09/04/2015,23,7.265217391304349
44,12/31/2016,5,3.1999999999999997
44,09/04/2013,3,3.9
44,12/31/2013,9,7.888888888888889
44,11/16/2013,10,5.95
44,11/16/2016,5,6.76
44,11/16/2015,16,8.24375
44,11/16/2014,15,4.826666666666667
44,08/09/2015,12,4.909999999999999
44,08/09/2014,18,5.188888888888888
44,08/09/2016,10,7.5
44,08/26/2016,7,11.771428571428572
44,08/26/2015,11,5.427272727272726
44,08/26/2014,7,4.871428571428572
44,08/26/2013,5,2.33
44,11/03/2015,14,6.721428571428572
44,11/03/2014,11,9.918181818181818
44,03/16/2017,8,4.3374999999999995
44,03/16/2016,18,8.5
44,11/03/2013,5,3.2800000000000002
44,03/16/2015,11,3.690909090909092
44,11/20/2016,7,4.742857142857142
44,11/20/2015,14,7.3500000000000005
44,11/20/2014,21,4.91
44,08/09/2013,5,7.0200000000000005
44,11/20/2013,9,7.544444444444443
44,09/21/2014,11,8.045454545454545
44,09/21/2013,9,5.344444444444445
44,10/08/2013,7,49.15142857142858
44,09/21/2016,8,7.7425
44,04/11/2017,11,9.481818181818182
44,09/21/2015,11,7.918181818181818
44,10/08/2016,14,6.664285714285714
44,04/11/2016,9,3.488888888888889
44,04/11/2015,14,6.007142857142857
44,04/11/2014,9,5.555555555555556
44,10/08/2014,7,5.528571428571429
44,10/08/2015,9,5.300000000000001
44,04/11/2013,4,3.375
44,12/26/2014,13,7.176923076923079
44,12/26/2015,8,2.125
44,07/20/2016,11,5.963636363636362
44,12/26/2013,7,5.214285714285715
44,07/20/2017,9,6.612222222222222
44,07/20/2014,14,8.064285714285715
44,07/20/2015,9,10.177777777777779
44,07/20/2013,5,13.319999999999999
44,02/05/2015,19,6.784210526315788
44,02/05/2014,4,9.45
44,02/05/2013,11,5.829999999999999
44,02/05/2017,5,5.34
44,02/05/2016,12,5.833333333333335
44,10/25/2013,7,10.585714285714287
44,10/25/2014,12,4.658333333333333
44,10/25/2015,13,5.5307692307692315
44,12/26/2016,5,7.459999999999999
44,10/25/2016,6,4.5
44,08/10/2016,10,8.620000000000001
44,08/10/2013,5,3.9199999999999995
44,08/10/2014,12,6.108333333333333
44,08/10/2015,14,5.578571428571428
44,05/14/2013,7,7.471428571428571
44,05/14/2014,16,3.7062500000000003
44,06/25/2013,1,0.6
44,06/25/2016,9,5.9222222222222225
44,05/14/2017,5,3.932000000000001
44,06/25/2017,6,7.900000000000001
44,05/14/2015,13,6.907692307692306
44,06/25/2014,18,6.537222222222223
44,06/25/2015,16,3.3374999999999995
44,05/14/2016,10,7.24
44,12/06/2013,25,2.9759999999999995
44,12/06/2016,8,10.45
44,12/06/2014,18,3.738888888888889
44,12/06/2015,14,5.971428571428572
44,01/02/2014,8,4.365
44,01/02/2015,9,8.18888888888889
44,01/02/2016,12,8.825000000000001
44,01/02/2017,6,12.766666666666666
44,11/23/2013,11,6.06
44,07/18/2017,7,8.241428571428573
44,07/18/2015,19,7.1157894736842096
44,03/16/2014,14,4.280714285714285
44,07/18/2016,6,13.35
44,03/16/2013,4,3.775
44,07/18/2013,2,21.65
44,07/18/2014,12,7.2
44,11/03/2016,6,7.583333333333332
44,01/02/2013,7,13.5
44,09/01/2016,8,7.0875
44,09/01/2015,7,9.457142857142857
44,09/01/2014,11,4.618181818181818
44,09/01/2013,4,0.6975
44,12/29/2016,13,8.054615384615385
44,12/29/2015,6,10.25
44,12/29/2014,13,6.9923076923076914
44,12/29/2013,12,6.25
44,03/13/2016,16,4.05
44,03/13/2017,11,6.083636363636364
44,03/13/2013,4,7.950000000000001
44,03/13/2014,14,5.464285714285714
44,08/23/2013,7,2.657142857142857
44,03/13/2015,18,7.105555555555556
44,08/23/2015,6,5.283333333333333
44,11/23/2016,10,9.010000000000002
44,08/23/2014,13,4.86923076923077
44,11/23/2015,10,6.85
44,11/23/2014,23,5.261739130434782
44,08/23/2016,4,6.775
44,10/05/2015,12,8.683333333333334
44,10/05/2016,6,12.533333333333333
44,10/05/2013,6,6.23
44,10/05/2014,17,5.441176470588236
44,01/12/2017,3,5.133333333333333
44,01/12/2016,9,7.300000000000001
44,01/12/2015,17,9.576470588235296
44,01/12/2014,5,9.721999999999998
44,01/12/2013,2,9.45
44,02/28/2015,23,7.843478260869564
44,08/06/2014,11,7.865454545454545
44,02/28/2016,15,6.4399999999999995
44,08/06/2013,4,1.8875000000000002
44,02/28/2013,6,9.216666666666667
44,02/28/2014,22,5.6409090909090915
44,08/06/2016,9,7.666666666666667
44,08/06/2015,17,6.1000000000000005
44,01/22/2017,7,9.085714285714285
44,01/22/2016,15,5.966666666666667
44,01/22/2013,4,2.15
44,01/22/2015,11,6.681818181818182
44,01/22/2014,6,2.0666666666666664
44,08/13/2015,13,6.923076923076923
44,02/18/2013,7,10.114285714285714
44,10/28/2016,8,6.050000000000001
44,08/13/2016,11,6.400000000000002
44,10/28/2015,12,4.483333333333333
